candidate_id,candidate_x,candidate_y,num_observations,unique_viewpoint_bins,viewpoint_entropy,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7
62,-27.942314110239195,-21.823354806615036,162,2,0.1114227108539313,0,10,152,0,0,0,0,0
63,-33.006342391959784,-8.925984341325645,1,1,0.0,0,0,0,1,0,0,0,0
64,-23.481768875079503,-16.458471656160373,138,3,0.32370756407433304,0,0,0,104,28,6,0,0
65,-18.260151261444136,-18.621090523598337,140,3,0.3640102882059366,0,0,0,98,34,8,0,0
66,-21.789865627981122,-24.685926988081903,132,3,0.42213917717237054,0,8,58,66,0,0,0,0
67,-22.158488124299755,-19.98922534206433,1,1,0.0,0,0,0,1,0,0,0,0
68,-41.04035143847384,-14.609345115058726,1,1,0.0,0,1,0,0,0,0,0,0
69,-31.175692028974783,-14.513410736689815,1,1,0.0,0,0,0,1,0,0,0,0
70,-12.471807861064224,-20.21143780071153,142,3,0.4115074909337752,0,0,0,86,46,10,0,0
71,-14.925853766149773,-26.74954584479241,116,3,0.33323331639014253,0,4,28,84,0,0,0,0
72,-31.528792381980544,-22.52353959353334,1,1,0.0,0,0,1,0,0,0,0,0
73,-6.312506231748757,-21.1640049971594,130,3,0.45004158668162336,0,0,0,56,62,12,0,0
74,-7.545929934213134,-28.08207332024978,108,3,0.2729337019491572,0,2,20,86,0,0,0,0
75,0.0037502830260039777,-21.501742702031695,122,3,0.3900925853179466,0,0,0,18,86,18,0,0
76,-0.019828636301202792,-28.529654314127818,106,3,0.2475773136591728,0,2,16,88,0,0,0,0
77,6.317557480650145,-21.176681472140128,116,3,0.24801938315978667,0,0,0,0,96,18,2,0
78,-8.704047189152487,-16.950819808728276,1,1,0.0,0,0,0,0,1,0,0,0
79,7.535035935702898,-28.10803965880562,104,2,0.18998712534678336,0,0,14,90,0,0,0,0
80,0.1951692041108879,-19.773868835820466,1,1,0.0,0,0,0,0,1,0,0,0
81,12.493258129100557,-20.18267772144691,117,3,0.3006149980716708,0,0,0,0,91,22,4,0
82,1.672408716770177,-20.437755873559265,1,1,0.0,0,0,0,0,1,0,0,0
83,14.883186868038672,-26.768772385506917,102,2,0.15424968619272464,0,0,10,92,0,0,0,0
84,18.254574212179474,-18.62840858272308,118,3,0.34398842724384615,0,0,0,0,86,26,6,0
85,21.725979513986974,-24.692410559116823,104,3,0.4061185927588466,0,0,8,66,30,0,0,0
86,23.454178699200533,-16.493038187192283,121,3,0.4021060376180749,0,0,0,0,79,32,10,0
87,27.96055704647085,-21.818272492438723,108,3,0.3922742759931885,0,0,6,34,68,0,0,0
88,27.95844843350342,-13.841461769058022,128,3,0.4548586143425727,0,0,0,0,68,46,14,0
89,16.412177324275305,-29.077062603881995,1,1,0.0,0,0,0,1,0,0,0,0
90,31.617643323744574,-10.759400970963537,138,3,0.4792210880286975,0,0,0,0,50,68,20,0
91,33.31692337838016,-18.3402423688401,112,3,0.3013620687064506,0,0,2,26,84,0,0,0
92,17.712773171900864,-16.727312873030282,1,1,0.0,0,0,0,0,0,1,0,0
93,34.31963253226993,-7.362877258010288,152,4,0.4863339348265153,0,0,0,0,24,96,26,6
94,37.69397874685876,-14.239494547479449,120,2,0.2166741405494514,0,0,0,20,100,0,0,0
95,35.964973616430605,-3.738701446477934,170,3,0.36927214147230775,0,0,0,0,0,120,38,12
96,21.136124223212693,-16.264544233254107,1,1,0.0,0,0,0,0,0,1,0,0
97,40.8995418114519,-9.739798904176727,128,2,0.16600929551149218,0,0,0,14,114,0,0,0
98,27.81024706264612,-24.83621732222882,1,1,0.0,0,0,0,1,0,0,0,0
99,36.773124740375785,-10.63582550622835,1,1,0.0,0,0,0,0,1,0,0,0
100,42.82699025861376,-4.944968450458191,139,2,0.10588584150398453,0,0,0,8,131,0,0,0
101,36.47145610014169,0.03860154367890554,166,3,0.474591969973244,0,0,0,0,0,86,56,24
102,32.279206110835204,-15.20626089464342,1,1,0.0,0,0,0,0,1,0,0,0
103,39.88737982221291,-16.546169255855993,1,1,0.0,0,0,0,0,1,0,0,0
104,38.8129618894298,19.917201426580544,1,1,0.0,0,0,0,0,0,1,0,0
105,26.448307095774982,19.324716798184635,1,1,0.0,0,0,0,0,0,0,0,1
106,21.43465225089858,27.87390126138209,1,1,0.0,0,0,0,0,0,0,1,0
107,15.6639835538175,23.52750170727921,1,1,0.0,0,0,0,0,0,0,0,1
108,16.265130252462736,24.69947214801455,1,1,0.0,0,0,0,0,0,0,0,1
109,13.808478823119504,24.75269000198358,1,1,0.0,0,0,0,0,0,0,0,1
110,9.258512625259552,20.24369535152948,1,1,0.0,1,0,0,0,0,0,0,0
111,2.606179623200538,33.030042547314935,1,1,0.0,0,0,0,0,0,0,0,1
112,-1.2357419381947288,28.46897052114822,1,1,0.0,0,0,0,0,0,0,0,1
113,-2.300422381197987,26.4133457642791,1,1,0.0,0,0,0,0,0,0,0,1
114,0.3134711915144144,24.556215597597564,1,1,0.0,1,0,0,0,0,0,0,0
115,1.5288836900003502,22.751293562487,1,1,0.0,1,0,0,0,0,0,0,0
116,-20.52950620953797,31.89972746139398,1,1,0.0,0,0,0,0,0,0,0,1
117,-24.86148090668561,28.1092238939612,1,1,0.0,0,0,0,0,0,0,0,1
118,-21.30217932526675,14.97905274319812,1,1,0.0,0,1,0,0,0,0,0,0
119,-33.80123381448044,9.09729910889448,1,1,0.0,0,1,0,0,0,0,0,0
120,-40.03974543159236,16.80299282378751,1,1,0.0,1,0,0,0,0,0,0,0
121,-35.192251547464494,12.34923054314504,1,1,0.0,1,0,0,0,0,0,0,0
122,-34.64857649111069,8.694359012519255,2,1,0.0,0,2,0,0,0,0,0,0
123,-31.31882971041272,12.514082895452397,1,1,0.0,0,1,0,0,0,0,0,0
124,-37.276287201572266,-1.3273676224084463,1,1,0.0,0,1,0,0,0,0,0,0
125,-40.21815882860663,2.9976881027151543,1,1,0.0,0,1,0,0,0,0,0,0
126,-40.37023291802773,-0.8606447904616085,1,1,0.0,0,1,0,0,0,0,0,0
127,-38.9638486197131,-7.12067993347185,1,1,0.0,0,0,1,0,0,0,0,0
128,-27.18597625245372,-24.537220645623663,1,1,0.0,0,0,1,0,0,0,0,0
129,-16.415483376091505,-21.62472773697609,1,1,0.0,0,0,0,1,0,0,0,0
130,-15.676586526755436,-23.35738760118947,1,1,0.0,0,0,0,1,0,0,0,0
131,-10.49201635787123,-18.79558166004337,1,1,0.0,0,0,0,0,1,0,0,0
132,-8.95949856502089,-21.62361347352733,1,1,0.0,0,0,0,1,0,0,0,0
133,19.60794833775507,-27.54832069532822,1,1,0.0,0,0,0,1,0,0,0,0
134,23.75948918232846,-18.25053261453481,1,1,0.0,0,0,0,0,1,0,0,0
135,30.6928430484308,-8.699932910056175,1,1,0.0,0,0,0,0,0,1,0,0
136,32.987736848858844,-8.73958515796114,1,1,0.0,0,0,0,0,0,1,0,0
137,41.93929730738776,2.4494039797713105,1,1,0.0,0,0,0,0,0,1,0,0
138,35.00572235277929,-0.2626242491597459,1,1,0.0,0,0,0,0,0,0,1,0
139,46.50392944870861,5.567309857258623,1,1,0.0,0,0,0,0,0,1,0,0
140,39.53211257639403,2.917218955223851,1,1,0.0,0,0,0,0,0,1,0,0
