candidate_id,landmark_x,landmark_y,consensus_score,s_m,l_m,side,trajectory_timestamp
31.0,-18.277678896853114,18.64098360436663,0.7881950275168568,0.12326326758238426,3.4121699060792414,left,19.8
32.0,-21.76148418656992,24.63908153043022,0.8101960144058586,-0.17935473542662417,-3.41262289026052,right,20.2
33.0,-23.475525854214105,16.462168739004575,0.8060702911429332,0.16109951747773876,3.412929834034128,left,21.4
34.0,-27.966753129636192,21.778753634186224,0.8024663158075864,-0.13345059817889382,-3.3811023404179097,right,21.9
35.0,-27.953353929046056,13.818078595644462,0.8203870654571588,-0.10276000491646009,3.4007922490996534,left,23.1
38.0,-31.62836052147348,10.761458806541818,0.8265075381579616,0.04525178688972975,3.3799443761981154,left,24.7
39.0,-33.30109321821974,18.28960781066261,0.7714608675315247,-0.17563036268564902,-3.3770819621457604,right,23.6
41.0,-34.28568953039039,7.365783578585058,0.8267704241677631,-0.002838516130654778,3.4374678248335813,left,26.4
42.0,-37.668537277018594,14.251978491762408,0.7481397384922144,0.07013845059359647,-3.4229398095586787,right,25.2
43.0,-35.95835785895654,3.7271684793859783,0.7933994528171862,-0.05664991297940303,3.4670932565334778,left,28.2
44.0,-40.89145611351974,9.741106057425608,0.7321022178857812,-0.14298260016769948,-3.4619847542784945,right,26.9
46.0,-42.83348899643405,4.918158684503691,0.7092530995279103,-0.1593447235192491,-3.471002008103957,right,28.5
47.0,-36.48266835411462,0.0012872340221221,0.833334995252998,-0.0013001539026652447,3.517331641133374,left,30.0
48.0,-43.499589326655006,0.0223021772504807,0.767421350097685,-0.02228932254095596,-3.4995894085518677,right,30.0
50.0,-42.826926611315535,-4.943749267532528,0.7302548057897971,-0.1369198476031801,-3.4717086936135444,right,31.6
52.0,-35.942301772531955,-3.746397332771137,0.8458137466547919,0.07970246844401341,3.4768379746690337,left,31.8
53.0,-40.866053578411815,-9.757586634726175,0.7091377729974826,-0.1629338440518715,-3.4476210783415047,right,33.2
54.0,-34.31296866198111,-7.366502473853919,0.8120271144318163,-0.01117813061591022,3.414039044234179,left,33.6
56.0,-37.69407152754072,-14.248886606179823,0.7671810031379036,-0.08929863453398768,-3.440071606322012,right,34.8
58.0,-31.637235809405595,-10.759325245258315,0.828694945591727,-0.05304190976031564,3.375145809269027,left,35.3
59.0,-33.35524336185166,-18.3295986592464,0.7350221870202935,0.15789548361217198,-3.4420121702465236,right,36.4
61.0,-27.952567819970408,-13.810004681859889,0.8090343080876146,0.09870680497295559,3.4078342768576606,left,36.9
62.0,-27.952160511923584,-21.831531291025133,0.7176465188809198,0.1717259277199108,-3.420284590074988,right,38.1
64.0,-23.477102389869096,-16.452865243928336,0.780498877143996,-0.16666675431459987,3.4205657246726653,left,38.6
65.0,-18.25787149692263,-18.622364132971548,0.7917194719123419,-0.11060724523418786,3.436214951767011,left,40.2
66.0,-21.78531476241121,-24.683723495274076,0.808437519917776,0.1725521225100488,-3.4628264212587205,right,39.8
70.0,-12.472513573912376,-20.219155175940543,0.8093873804001654,-0.05402135069916847,3.4574437590024796,left,41.8
71.0,-14.916086650739466,-26.740286750440436,0.7828124604384807,-0.19875531626747356,-3.4426959170456106,right,41.6
73.0,-6.310678287408216,-21.162518693229487,0.8165496511889943,-0.008227589954511838,3.5060362103666836,left,43.4
74.0,-7.544595083124518,-28.084512784012237,0.765601432836545,-0.0698117853598092,-3.5093027155681784,right,43.3
75.0,0.0051167484460301,-21.5124099699806,0.8004086315401175,0.0051167484460301,3.487590030019401,left,45.0
76.0,-0.0239974295400315,-28.547220245720915,0.7567649521570896,-0.0239974295400315,-3.547220245720915,right,45.0
77.0,6.320915551099201,-21.17804948674913,0.7576260796016823,0.016775778215633197,3.489515447893933,left,46.6
79.0,7.537839686619312,-28.0949440096538,0.74051838490486,0.06193285814620192,-3.5189135613317135,right,46.7
81.0,12.501400304990437,-20.210472914378016,0.772497450943088,0.08409371225807438,3.4597842650346733,left,48.2
83.0,14.885634602420009,-26.761461086916867,0.7292234886438327,0.16429983046076146,-3.4564254206743343,right,48.4
84.0,18.25132022138402,-18.62617649792644,0.7859098361507442,0.10317261083852536,3.4347386221510705,left,49.8
85.0,21.72993833637136,-24.702947052419425,0.8042002922267746,0.17939406959493187,-3.4607212965679537,right,50.1
86.0,23.45539587792497,-16.49502162540115,0.8048770997776233,0.12850414829055157,3.3924241422524255,left,51.4
87.0,27.966469164536363,-21.840616103551007,0.8019906944578463,-0.1635778452551917,-3.435146625950723,right,51.9
88.0,27.95889142877511,-13.838288618538916,0.8189788986713167,-0.1099059664327875,3.3811032483519186,left,53.1
90.0,31.620730658312358,-10.760202641347004,0.827346435235327,0.04079491333788354,3.386245400033375,left,54.7
91.0,33.30950857046455,-18.30426733441105,0.7729152178805314,-0.17812394150477595,-3.3938026623417157,right,53.6
93.0,34.31969478489047,-7.361102666051832,0.8300826850762844,0.019339171793538057,3.411246901582307,left,56.4
94.0,37.69140991944747,-14.235193009414594,0.7477263405981931,0.09782312514765157,-3.429029332562125,right,55.2
95.0,35.96016529440667,-3.733758122796191,0.7941274158775877,-0.06239956868759311,3.4634415310148956,left,58.2
97.0,40.90393481308513,-9.741708947918111,0.7337485249355673,-0.13762321948712364,-3.473256910938876,right,56.9
100.0,42.82814027687226,-4.944343651623335,0.7165309163186693,0.13666314853942962,-3.4730354875393883,right,58.4
101.0,36.45924847124255,0.0462460876337535,0.8258312292129044,0.04625909354002663,3.5407513588621953,left,0.0
