timestamp,cone_type,rel_x_sensor,rel_y_sensor,confidence,label
1.5,right,-8.413,-5.935,0.8,real
1.5,right,-12.552,-8.56,0.97,real
1.6,left,-4.831,2.852,0.93,real
1.6,left,-9.994,1.16,0.78,real
1.6,left,-15.223,-2.197,0.91,real
1.6,left,-20.016,-6.606,0.84,real
1.6,right,-0.695,-3.572,0.92,real
1.6,right,-4.319,-3.866,0.95,real
1.6,right,-8.47,-5.659,0.86,real
1.6,right,-12.365,-8.74,0.96,real
1.7,left,-4.561,2.732,0.79,real
1.7,left,-9.894,1.074,0.81,real
1.7,left,-15.264,-2.235,0.74,real
1.7,left,-19.62,-6.292,0.79,real
1.7,right,-0.21,-3.505,0.93,real
1.7,right,-4.174,-4.079,0.83,real
1.7,right,-8.455,-5.617,0.9,real
1.7,right,-12.09,-8.382,0.87,real
1.7,right,-15.944,-11.771,0.94,real
1.7,right,-7.716,-5.829,0.3,ghost
1.8,left,-4.37,2.835,0.82,real
1.8,left,-9.667,1.138,0.84,real
1.8,left,-14.962,-1.671,0.92,real
1.8,left,-19.533,-5.831,0.86,real
1.8,right,-0.189,-3.44,0.99,real
1.8,right,-4.199,-4.04,0.88,real
1.8,right,-8.05,-5.92,0.84,real
1.8,right,-11.953,-8.083,0.89,real
1.8,right,-16.084,-11.635,0.88,real
1.9,left,-4.235,2.782,0.85,real
1.9,left,-9.35,1.5,0.85,real
1.9,left,-14.759,-1.709,0.84,real
1.9,left,-19.675,-5.425,0.92,real
1.9,right,-3.76,-3.65,0.81,real
1.9,right,-7.874,-5.728,0.85,real
1.9,right,-12.163,-8.09,0.76,real
1.9,right,-15.759,-11.428,0.78,real
1.9,right,-7.639,-7.798,0.5,ghost
2.0,left,-3.69,2.762,0.99,real
2.0,left,-8.816,1.793,0.86,real
2.0,left,-14.105,-1.222,0.7,real
2.0,left,-19.302,-5.539,0.8,real
2.0,right,-3.545,-3.608,0.92,real
2.0,right,-7.636,-5.677,0.89,real
2.0,right,-11.691,-7.893,0.84,real
2.0,right,-15.474,-11.255,0.87,real
2.1,left,-3.454,3.127,0.92,real
2.1,left,-8.791,1.834,0.96,real
2.1,left,-13.847,-1.043,0.89,real
2.1,left,-19.224,-4.889,0.86,real
2.1,right,-3.179,-3.835,0.77,real
2.1,right,-7.361,-5.043,0.89,real
2.1,right,-11.531,-7.66,0.99,real
2.1,right,-15.536,-11.178,0.8,real
2.2,left,-3.139,3.234,0.82,real
2.2,left,-8.402,1.948,0.88,real
2.2,left,-13.872,-0.863,0.91,real
2.2,left,-18.656,-4.549,0.9,real
2.2,right,-3.287,-3.483,0.89,real
2.2,right,-7.513,-5.062,0.87,real
2.2,right,-11.534,-7.477,0.93,real
2.2,right,-15.527,-10.741,0.83,real
2.3,left,-2.749,3.538,0.84,real
2.3,left,-8.396,1.68,0.74,real
2.3,left,-13.54,-0.439,0.84,real
2.3,left,-18.643,-4.368,0.99,real
2.3,right,-3.092,-3.392,0.9,real
2.3,right,-7.044,-5.024,0.86,real
2.3,right,-11.25,-7.394,0.95,real
2.3,right,-15.215,-11.017,0.97,real
2.4,left,-2.662,3.283,0.83,real
2.4,left,-7.642,2.089,0.75,real
2.4,left,-13.379,-0.569,0.88,real
2.4,left,-18.362,-3.87,0.87,real
2.4,right,-2.303,-3.712,0.93,real
2.4,right,-6.847,-4.787,0.89,real
2.4,right,-11.193,-7.281,0.88,real
2.4,right,-15.166,-10.156,0.89,real
2.5,left,-2.41,3.613,0.91,real
2.5,left,-7.812,2.324,0.81,real
2.5,left,-12.797,-0.389,0.85,real
2.5,left,-18.076,-3.687,0.99,real
2.5,right,-2.337,-3.737,0.9,real
2.5,right,-6.596,-5.052,0.83,real
2.5,right,-10.899,-7.112,0.96,real
2.5,right,-15.036,-9.598,0.8,real
2.6,left,-1.803,3.194,0.9,real
2.6,left,-7.161,2.167,0.99,real
2.6,left,-12.96,-0.142,0.8,real
2.6,left,-18.78,-3.268,0.85,real
2.6,right,-2.174,-3.896,0.91,real
2.6,right,-6.241,-4.721,0.92,real
2.6,right,-10.732,-6.532,0.83,real
2.6,right,-14.965,-9.783,0.84,real
2.7,left,-1.608,3.304,0.83,real
2.7,left,-6.858,2.535,0.99,real
2.7,left,-12.321,0.356,0.86,real
2.7,left,-17.815,-3.36,0.95,real
2.7,right,-2.042,-3.036,0.86,real
2.7,right,-6.167,-4.388,0.84,real
2.7,right,-10.673,-6.396,0.97,real
2.7,right,-14.698,-9.339,0.91,real
2.8,left,-1.365,3.682,0.92,real
2.8,left,-6.945,2.162,0.84,real
2.8,left,-12.066,0.226,0.95,real
2.8,left,-17.571,-2.924,0.99,real
2.8,right,-1.832,-3.453,0.89,real
2.8,right,-6.185,-4.301,0.86,real
2.8,right,-10.222,-6.385,0.99,real
2.8,right,-14.908,-9.317,0.81,real
2.9,left,-0.761,3.808,0.87,real
2.9,left,-6.374,2.701,0.9,real
2.9,left,-11.685,0.331,0.85,real
2.9,left,-17.472,-2.558,0.85,real
2.9,right,-1.853,-3.724,0.88,real
2.9,right,-6.0,-4.576,0.83,real
2.9,right,-10.435,-6.091,0.86,real
2.9,right,-14.581,-9.221,0.85,real
3.0,left,-0.265,3.44,0.86,real
3.0,left,-5.95,2.962,0.91,real
3.0,left,-11.411,0.871,0.77,real
3.0,left,-17.375,-2.413,0.96,real
3.0,right,-1.445,-3.186,0.8,real
3.0,right,-5.787,-4.174,0.8,real
3.0,right,-10.025,-6.102,0.81,real
3.0,right,-14.425,-8.817,0.7,real
3.1,left,-0.246,3.545,0.79,real
3.1,left,-5.849,3.048,0.92,real
3.1,left,-11.147,0.982,0.98,real
3.1,left,-16.94,-1.826,0.91,real
3.1,right,-1.181,-3.199,0.76,real
3.1,right,-5.73,-4.227,0.85,real
3.1,right,-9.897,-5.745,0.77,real
3.1,right,-14.071,-8.79,0.9,real
3.2,left,-5.285,2.891,0.95,real
3.2,left,-11.123,0.85,0.77,real
3.2,left,-16.538,-1.984,0.9,real
3.2,right,-1.105,-3.278,0.89,real
3.2,right,-5.606,-4.279,0.94,real
3.2,right,-9.664,-5.986,0.99,real
3.2,right,-14.191,-8.709,0.82,real
3.2,right,-18.693,-12.158,0.83,real
3.3,left,-5.189,3.039,0.9,real
3.3,left,-10.756,1.279,0.82,real
3.3,left,-16.546,-1.731,0.97,real
3.3,left,-21.475,-5.416,0.83,real
3.3,right,-1.176,-3.369,0.83,real
3.3,right,-4.734,-3.972,0.88,real
3.3,right,-9.409,-5.546,0.83,real
3.3,right,-14.13,-8.204,0.91,real
3.3,right,-18.238,-11.577,0.96,real
3.4,left,-4.539,3.244,0.81,real
3.4,left,-10.096,1.599,0.77,real
3.4,left,-16.052,-1.359,0.79,real
3.4,left,-21.858,-5.354,0.85,real
3.4,right,-0.379,-3.726,0.9,real
3.4,right,-4.842,-3.548,0.83,real
3.4,right,-8.87,-5.502,0.91,real
3.4,right,-13.718,-8.184,0.81,real
3.4,right,-18.455,-11.19,0.86,real
3.5,left,-4.412,2.752,0.99,real
3.5,left,-10.264,1.695,0.99,real
3.5,left,-15.82,-1.315,0.82,real
3.5,left,-21.566,-5.029,0.8,real
3.5,right,-0.179,-3.309,0.79,real
3.5,right,-4.238,-3.779,0.91,real
3.5,right,-9.021,-5.455,0.9,real
3.5,right,-13.837,-7.744,0.92,real
3.5,right,-18.16,-11.523,0.93,real
3.6,left,-3.947,2.933,0.99,real
3.6,left,-10.106,1.681,0.96,real
3.6,left,-15.916,-1.255,0.93,real
3.6,left,-21.488,-4.618,0.78,real
3.6,right,-4.47,-3.824,0.88,real
3.6,right,-8.735,-5.256,0.9,real
3.6,right,-13.302,-7.721,0.9,real
3.6,right,-18.077,-10.827,0.94,real
3.7,left,-3.725,3.225,0.85,real
3.7,left,-9.251,1.575,0.87,real
3.7,left,-15.238,-0.896,0.98,real
3.7,left,-21.356,-4.214,0.91,real
3.7,right,-3.905,-3.641,0.99,real
3.7,right,-8.666,-5.21,0.92,real
3.7,right,-13.239,-7.498,0.88,real
3.7,right,-17.829,-10.79,0.99,real
3.8,left,-3.573,2.898,0.99,real
3.8,left,-9.15,1.812,0.91,real
3.8,left,-15.051,-0.73,0.87,real
3.8,left,-20.848,-4.499,0.89,real
3.8,right,-3.831,-3.934,0.89,real
3.8,right,-8.456,-5.079,0.79,real
3.8,right,-13.107,-7.14,0.89,real
3.8,right,-17.593,-10.634,0.93,real
3.9,left,-3.308,3.166,0.94,real
3.9,left,-8.664,2.44,0.93,real
3.9,left,-14.958,-0.494,0.79,real
3.9,left,-20.805,-3.507,0.89,real
3.9,right,-3.645,-3.759,0.86,real
3.9,right,-8.138,-4.938,0.98,real
3.9,right,-12.767,-7.121,0.97,real
3.9,right,-17.647,-9.995,0.91,real
4.0,left,-2.563,3.625,0.81,real
4.0,left,-8.256,2.13,0.83,real
4.0,left,-14.355,-0.26,0.84,real
4.0,left,-20.571,-3.557,0.9,real
4.0,right,-3.097,-3.798,0.85,real
4.0,right,-8.026,-4.93,0.87,real
4.0,right,-12.761,-6.928,0.97,real
4.0,right,-17.665,-10.081,0.8,real
4.1,left,-2.181,3.383,0.93,real
4.1,left,-8.3,2.37,0.78,real
4.1,left,-14.38,0.18,0.97,real
4.1,left,-20.107,-3.217,0.95,real
4.1,right,-3.15,-3.893,0.89,real
4.1,right,-7.807,-4.863,0.82,real
4.1,right,-12.537,-6.595,0.93,real
4.1,right,-17.008,-10.092,0.86,real
4.2,left,-1.965,3.383,0.99,real
4.2,left,-7.711,2.336,0.92,real
4.2,left,-13.844,0.301,0.88,real
4.2,left,-19.918,-3.254,0.81,real
4.2,right,-2.76,-3.656,0.87,real
4.2,right,-7.455,-4.663,0.83,real
4.2,right,-12.168,-6.746,0.8,real
4.2,right,-17.374,-9.576,0.79,real
4.3,left,-1.75,3.34,0.8,real
4.3,left,-7.347,2.46,0.98,real
4.3,left,-13.395,0.314,0.86,real
4.3,left,-19.942,-2.982,0.93,real
4.3,right,-2.534,-3.828,0.78,real
4.3,right,-7.274,-4.744,0.9,real
4.3,right,-12.082,-6.495,0.86,real
4.3,right,-17.107,-9.405,0.92,real
4.4,left,-1.606,3.378,0.91,real
4.4,left,-7.356,2.579,0.8,real
4.4,left,-13.448,0.786,0.99,real
4.4,left,-19.536,-2.621,0.88,real
4.4,right,-2.652,-3.361,0.8,real
4.4,right,-6.903,-4.432,0.81,real
4.4,right,-11.912,-6.378,0.82,real
4.4,right,-17.098,-8.847,0.79,real
4.5,left,-1.259,3.225,0.88,real
4.5,left,-7.106,2.786,0.87,real
4.5,left,-12.916,0.519,0.86,real
4.5,left,-19.205,-2.253,0.88,real
4.5,right,-1.691,-3.478,0.81,real
4.5,right,-7.002,-4.53,0.76,real
4.5,right,-11.672,-6.305,0.91,real
4.5,right,-16.855,-8.902,0.78,real
4.6,left,-0.649,3.625,0.88,real
4.6,left,-6.227,3.08,0.93,real
4.6,left,-12.431,0.934,0.78,real
4.6,left,-18.583,-2.031,0.85,real
4.6,right,-2.001,-3.559,0.86,real
4.6,right,-6.656,-4.508,0.91,real
4.6,right,-11.366,-6.241,0.99,real
4.6,right,-16.551,-8.995,0.94,real
4.7,left,-0.113,3.564,0.79,real
4.7,left,-6.247,2.672,0.74,real
4.7,left,-12.039,0.888,0.84,real
4.7,left,-18.429,-1.767,0.89,real
4.7,right,-1.642,-3.489,0.93,real
4.7,right,-6.172,-4.18,0.8,real
4.7,right,-11.274,-6.037,0.81,real
4.7,right,-16.31,-8.368,0.87,real
4.7,right,-21.09,-11.923,0.83,real
4.8,left,-5.943,2.783,0.78,real
4.8,left,-12.106,1.108,0.86,real
4.8,left,-18.143,-1.598,0.78,real
4.8,right,-1.606,-3.236,0.83,real
4.8,right,-6.223,-4.257,0.93,real
4.8,right,-11.251,-5.723,0.81,real
4.8,right,-16.187,-8.416,0.86,real
4.8,right,-20.804,-11.78,0.92,real
4.9,left,-5.265,2.935,0.77,real
4.9,left,-11.456,1.328,0.82,real
4.9,left,-18.067,-1.345,0.91,real
4.9,right,-1.135,-3.851,0.83,real
4.9,right,-5.772,-4.126,0.9,real
4.9,right,-10.788,-5.578,0.9,real
4.9,right,-15.49,-8.115,0.87,real
4.9,right,-20.706,-11.563,0.93,real
5.0,left,-5.297,2.829,0.78,real
5.0,left,-11.427,1.526,0.81,real
5.0,left,-17.766,-1.144,0.83,real
5.0,right,-0.633,-3.465,0.88,real
5.0,right,-5.306,-3.86,0.87,real
5.0,right,-10.575,-5.329,0.91,real
5.0,right,-15.469,-8.378,0.81,real
5.0,right,-20.551,-11.084,0.82,real
5.1,left,-4.972,2.908,0.77,real
5.1,left,-11.148,1.456,0.79,real
5.1,left,-17.115,-0.914,0.87,real
5.1,right,-0.702,-3.117,0.85,real
5.1,right,-5.539,-3.891,0.99,real
5.1,right,-10.374,-5.548,0.93,real
5.1,right,-15.359,-7.542,0.9,real
5.1,right,-20.573,-10.811,0.83,real
5.2,left,-4.474,3.126,0.89,real
5.2,left,-11.042,1.834,0.81,real
5.2,left,-16.841,-0.884,0.92,real
5.2,right,-0.366,-3.158,0.95,real
5.2,right,-5.192,-3.869,0.88,real
5.2,right,-10.132,-5.339,0.92,real
5.2,right,-14.985,-7.488,0.8,real
5.2,right,-20.444,-10.655,0.87,real
5.3,left,-4.18,3.092,0.81,real
5.3,left,-10.696,1.563,0.87,real
5.3,left,-16.776,-0.455,0.87,real
5.3,right,-4.827,-3.979,0.84,real
5.3,right,-9.67,-4.927,0.93,real
5.3,right,-15.375,-7.593,0.96,real
5.3,right,-20.231,-9.785,0.87,real
5.4,left,-3.619,3.063,0.75,real
5.4,left,-9.679,1.933,0.89,real
5.4,left,-16.525,-0.234,0.87,real
5.4,right,-4.187,-3.815,0.77,real
5.4,right,-9.477,-5.092,0.76,real
5.4,right,-14.632,-7.312,0.99,real
5.4,right,-19.674,-10.149,0.79,real
5.4,right,-5.581,-0.677,0.31,ghost
5.5,left,-3.18,3.138,0.74,real
5.5,left,-9.66,1.904,0.78,real
5.5,left,-16.371,-0.159,0.88,real
5.5,right,-4.077,-3.609,0.89,real
5.5,right,-9.202,-4.857,0.83,real
5.5,right,-14.55,-6.818,0.82,real
5.5,right,-19.858,-10.017,0.86,real
5.6,left,-3.007,3.431,0.9,real
5.6,left,-9.245,1.991,0.92,real
5.6,left,-15.325,-0.272,0.9,real
5.6,right,-4.027,-3.809,0.92,real
5.6,right,-8.928,-5.021,0.87,real
5.6,right,-14.147,-6.654,0.91,real
5.6,right,-19.48,-9.244,0.82,real
5.7,left,-2.585,3.287,0.86,real
5.7,left,-8.949,2.421,0.76,real
5.7,left,-15.513,0.128,0.89,real
5.7,right,-3.771,-3.418,0.85,real
5.7,right,-8.754,-4.756,0.98,real
5.7,right,-13.725,-7.014,0.92,real
5.7,right,-19.347,-9.252,0.9,real
5.8,left,-2.441,3.286,0.84,real
5.8,left,-8.806,2.44,0.99,real
5.8,left,-15.328,0.305,0.73,real
5.8,left,-21.683,-2.94,0.96,real
5.8,right,-3.297,-3.479,0.8,real
5.8,right,-8.271,-4.758,0.88,real
5.8,right,-13.81,-6.577,0.93,real
5.8,right,-19.361,-9.53,0.88,real
5.9,left,-2.261,3.378,0.86,real
5.9,left,-8.121,2.49,0.94,real
5.9,left,-15.043,0.254,0.87,real
5.9,left,-21.328,-2.389,0.92,real
5.9,right,-3.368,-3.534,0.89,real
5.9,right,-8.388,-4.395,0.95,real
5.9,right,-13.009,-6.477,0.98,real
5.9,right,-19.159,-9.158,0.91,real
6.0,left,-1.451,3.35,0.8,real
6.0,left,-8.117,2.431,0.92,real
6.0,left,-14.737,0.561,0.84,real
6.0,left,-21.125,-2.347,0.8,real
6.0,right,-2.503,-3.371,0.94,real
6.0,right,-8.058,-4.687,0.78,real
6.0,right,-13.105,-6.209,0.97,real
6.0,right,-19.019,-8.854,0.99,real
6.1,left,-1.256,3.32,0.94,real
6.1,left,-8.061,2.665,0.98,real
6.1,left,-14.164,0.86,0.82,real
6.1,left,-20.646,-1.915,0.86,real
6.1,right,-2.202,-3.23,0.8,real
6.1,right,-7.974,-4.721,0.92,real
6.1,right,-13.381,-6.298,0.89,real
6.1,right,-18.289,-8.643,0.97,real
6.2,left,-1.279,3.331,0.78,real
6.2,left,-7.208,2.75,0.93,real
6.2,left,-13.952,1.13,0.78,real
6.2,left,-20.605,-1.891,0.94,real
6.2,right,-2.028,-3.515,0.97,real
6.2,right,-7.626,-4.067,0.99,real
6.2,right,-12.633,-6.096,0.89,real
6.2,right,-17.977,-8.494,0.91,real
6.3,left,-0.449,3.379,0.99,real
6.3,left,-7.058,2.658,0.83,real
6.3,left,-13.925,1.194,0.94,real
6.3,left,-19.829,-1.552,0.84,real
6.3,right,-2.218,-3.961,0.74,real
6.3,right,-7.138,-4.138,0.88,real
6.3,right,-12.313,-5.936,0.89,real
6.3,right,-18.19,-8.337,0.9,real
6.4,left,-0.325,3.639,0.88,real
6.4,left,-6.585,2.777,0.9,real
6.4,left,-13.189,1.074,0.86,real
6.4,left,-19.931,-1.582,0.91,real
6.4,right,-1.505,-3.552,0.82,real
6.4,right,-6.904,-3.824,0.84,real
6.4,right,-12.022,-5.51,0.9,real
6.4,right,-17.765,-7.64,0.99,real
6.5,left,-6.133,2.844,0.82,real
6.5,left,-12.749,1.331,0.88,real
6.5,left,-19.507,-0.84,0.84,real
6.5,right,-1.293,-3.501,0.86,real
6.5,right,-6.629,-4.009,0.8,real
6.5,right,-12.081,-5.69,0.8,real
6.5,right,-17.242,-7.817,0.79,real
6.6,left,-5.851,2.82,0.89,real
6.6,left,-12.654,1.392,0.83,real
6.6,left,-19.618,-1.133,0.81,real
6.6,right,-0.89,-3.331,0.78,real
6.6,right,-5.794,-3.895,0.86,real
6.6,right,-11.843,-5.501,0.77,real
6.6,right,-17.159,-7.675,0.81,real
6.7,left,-5.481,2.804,0.87,real
6.7,left,-12.047,1.812,0.91,real
6.7,left,-18.828,-0.825,0.78,real
6.7,right,-0.703,-3.059,0.9,real
6.7,right,-5.859,-3.669,0.79,real
6.7,right,-11.34,-5.524,0.88,real
6.7,right,-16.622,-7.789,0.8,real
6.8,left,-5.157,3.255,0.75,real
6.8,left,-11.667,2.052,0.87,real
6.8,left,-18.807,-0.713,0.87,real
6.8,right,-0.274,-3.807,0.99,real
6.8,right,-5.567,-3.812,0.78,real
6.8,right,-10.878,-5.219,0.73,real
6.8,right,-16.526,-7.278,0.82,real
6.9,left,-4.363,3.244,0.83,real
6.9,left,-11.549,1.86,0.84,real
6.9,left,-18.7,-0.505,0.99,real
6.9,right,-0.293,-3.229,0.78,real
6.9,right,-5.377,-4.164,0.87,real
6.9,right,-11.026,-5.084,0.91,real
6.9,right,-16.408,-7.006,0.99,real
6.9,right,-22.113,-9.922,0.93,real
7.0,left,-4.262,3.008,0.86,real
7.0,left,-10.999,1.501,0.84,real
7.0,left,-18.073,-0.428,0.94,real
7.0,right,-4.859,-3.607,0.78,real
7.0,right,-10.472,-5.133,0.99,real
7.0,right,-16.257,-6.902,0.84,real
7.0,right,-21.722,-9.335,0.99,real
7.1,left,-4.081,3.008,0.74,real
7.1,left,-11.059,2.016,0.89,real
7.1,left,-17.476,-0.032,0.74,real
7.1,right,-4.681,-3.785,0.85,real
7.1,right,-10.446,-5.034,0.85,real
7.1,right,-15.624,-6.893,0.73,real
7.1,right,-21.442,-9.614,0.94,real
7.2,left,-3.67,3.415,0.87,real
7.2,left,-10.103,2.201,0.87,real
7.2,left,-17.166,0.007,0.86,real
7.2,right,-4.281,-3.495,0.82,real
7.2,right,-9.758,-4.897,0.85,real
7.2,right,-15.754,-7.087,0.99,real
7.2,right,-20.829,-9.324,0.95,real
7.3,left,-3.242,3.314,0.94,real
7.3,left,-9.79,2.41,0.88,real
7.3,left,-17.067,0.277,0.98,real
7.3,right,-3.972,-3.674,0.82,real
7.3,right,-9.241,-4.931,0.8,real
7.3,right,-15.217,-6.279,0.94,real
7.3,right,-20.927,-9.144,0.99,real
7.4,left,-2.338,3.176,0.8,real
7.4,left,-9.825,2.129,0.82,real
7.4,left,-16.655,0.778,0.89,real
7.4,right,-3.493,-3.353,0.81,real
7.4,right,-9.096,-4.57,0.78,real
7.4,right,-15.333,-6.631,0.97,real
7.4,right,-20.828,-8.793,0.84,real
7.5,left,-2.451,3.605,0.92,real
7.5,left,-9.21,2.681,0.94,real
7.5,left,-16.077,0.524,0.89,real
7.5,right,-3.249,-3.697,0.78,real
7.5,right,-8.911,-4.506,0.89,real
7.5,right,-14.737,-6.247,0.89,real
7.5,right,-20.532,-8.42,0.93,real
7.6,left,-2.449,3.232,0.96,real
7.6,left,-8.862,2.588,0.92,real
7.6,left,-16.007,0.571,0.86,real
7.6,right,-2.673,-3.282,0.98,real
7.6,right,-8.319,-4.564,0.86,real
7.6,right,-14.496,-6.453,0.85,real
7.6,right,-20.433,-8.742,0.99,real
7.7,left,-2.095,3.043,0.99,real
7.7,left,-8.657,2.903,0.96,real
7.7,left,-15.45,0.946,0.81,real
7.7,right,-2.719,-3.611,0.84,real
7.7,right,-8.415,-4.495,0.99,real
7.7,right,-14.153,-5.917,0.83,real
7.7,right,-19.709,-8.638,0.82,real
7.8,left,-1.547,3.305,0.78,real
7.8,left,-8.215,2.625,0.84,real
7.8,left,-15.301,0.997,0.77,real
7.8,right,-2.418,-3.513,0.84,real
7.8,right,-8.207,-4.276,0.96,real
7.8,right,-13.732,-5.561,0.82,real
7.8,right,-19.697,-7.988,0.99,real
7.9,left,-0.573,3.539,0.91,real
