timestamp,x,y,yaw_rad,speed_mps,steering_rad,yaw_rate_rps
3.4,37.491,8.714,2.1076,7.784,0.118,0.065
3.5,37.343,8.959,2.1216,7.803,0.12,0.066
3.6,37.191,9.203,2.1355,7.821,0.123,0.068
3.7,37.035,9.446,2.1492,7.84,0.126,0.069
3.8,36.875,9.688,2.1629,7.857,0.129,0.071
3.9,36.71,9.929,2.1764,7.875,0.131,0.072
4.0,36.542,10.168,2.1898,7.892,0.134,0.074
4.1,36.369,10.407,2.203,7.908,0.136,0.075
4.2,36.193,10.644,2.2162,7.925,0.139,0.076
4.3,36.013,10.881,2.2291,7.94,0.141,0.078
4.4,35.828,11.116,2.242,7.956,0.143,0.079
4.5,35.64,11.35,2.2548,7.971,0.146,0.08
4.6,35.448,11.582,2.2674,7.985,0.148,0.081
4.7,35.252,11.814,2.2799,8.0,0.15,0.082
4.8,35.052,12.044,2.2922,8.013,0.152,0.084
4.9,34.849,12.273,2.3045,8.026,0.154,0.085
5.0,34.641,12.5,2.3166,8.039,0.156,0.086
5.1,34.43,12.726,2.3286,8.052,0.158,0.087
5.2,34.215,12.951,2.3404,8.063,0.16,0.088
5.3,33.996,13.174,2.3522,8.075,0.161,0.089
5.4,33.773,13.396,2.3638,8.086,0.163,0.09
5.5,33.547,13.616,2.3753,8.096,0.164,0.09
5.6,33.317,13.835,2.3867,8.106,0.166,0.091
5.7,33.083,14.052,2.398,8.116,0.167,0.092
5.8,32.846,14.268,2.4092,8.125,0.169,0.093
5.9,32.605,14.482,2.4202,8.133,0.17,0.093
6.0,32.361,14.695,2.4312,8.141,0.171,0.094
6.1,32.113,14.906,2.442,8.149,0.172,0.095
6.2,31.861,15.115,2.4527,8.156,0.173,0.095
6.3,31.606,15.323,2.4634,8.162,0.174,0.096
6.4,31.348,15.529,2.4739,8.168,0.175,0.096
6.5,31.086,15.733,2.4843,8.174,0.176,0.097
6.6,30.821,15.936,2.4946,8.179,0.177,0.097
6.7,30.552,16.136,2.5048,8.183,0.177,0.098
6.8,30.28,16.336,2.5149,8.187,0.178,0.098
6.9,30.004,16.533,2.5249,8.191,0.179,0.098
7.0,29.726,16.728,2.5348,8.193,0.179,0.098
7.1,29.444,16.922,2.5446,8.196,0.179,0.099
7.2,29.159,17.114,2.5544,8.198,0.18,0.099
7.3,28.87,17.304,2.564,8.199,0.18,0.099
7.4,28.579,17.492,2.5735,8.2,0.18,0.099
7.5,28.284,17.678,2.583,8.2,0.18,0.099
7.6,27.987,17.862,2.5924,8.2,0.18,0.099
7.7,27.686,18.044,2.6016,8.199,0.18,0.099
7.8,27.382,18.224,2.6109,8.198,0.18,0.099
7.9,27.075,18.402,2.62,8.196,0.179,0.099
8.0,26.765,18.579,2.629,8.193,0.179,0.098
8.1,26.452,18.753,2.638,8.191,0.179,0.098
8.2,26.137,18.925,2.6469,8.187,0.178,0.098
8.3,25.818,19.095,2.6557,8.183,0.177,0.098
8.4,25.497,19.263,2.6644,8.179,0.177,0.097
8.5,25.173,19.429,2.6731,8.174,0.176,0.097
8.6,24.846,19.592,2.6817,8.168,0.175,0.096
8.7,24.516,19.754,2.6902,8.162,0.174,0.096
8.8,24.184,19.913,2.6986,8.156,0.173,0.095
8.9,23.849,20.07,2.707,8.149,0.172,0.095
9.0,23.511,20.225,2.7153,8.141,0.171,0.094
9.1,23.171,20.378,2.7236,8.133,0.17,0.093
9.2,22.829,20.529,2.7318,8.125,0.169,0.093
9.3,22.483,20.677,2.7399,8.116,0.167,0.092
9.4,22.136,20.823,2.748,8.106,0.166,0.091
9.5,21.786,20.967,2.756,8.096,0.164,0.09
9.6,21.433,21.108,2.764,8.086,0.163,0.09
9.7,21.078,21.247,2.7719,8.075,0.161,0.089
9.8,20.721,21.384,2.7797,8.063,0.16,0.088
9.9,20.362,21.519,2.7875,8.052,0.158,0.087
10.0,20.0,21.651,2.7953,8.039,0.156,0.086
10.1,19.636,21.78,2.803,8.026,0.154,0.085
10.2,19.27,21.908,2.8106,8.013,0.152,0.084
10.3,18.902,22.033,2.8182,8.0,0.15,0.082
10.4,18.532,22.155,2.8258,7.985,0.148,0.081
10.5,18.16,22.275,2.8333,7.971,0.146,0.08
10.6,17.785,22.393,2.8408,7.956,0.143,0.079
10.7,17.409,22.508,2.8482,7.94,0.141,0.078
10.8,17.031,22.621,2.8556,7.925,0.139,0.076
10.9,16.651,22.731,2.8629,7.908,0.136,0.075
11.0,16.269,22.839,2.8702,7.892,0.134,0.074
11.1,15.886,22.944,2.8775,7.875,0.131,0.072
11.2,15.501,23.047,2.8847,7.857,0.129,0.071
11.3,15.114,23.147,2.8919,7.84,0.126,0.069
11.4,14.725,23.244,2.899,7.821,0.123,0.068
11.5,14.335,23.34,2.9061,7.803,0.12,0.066
11.6,13.943,23.432,2.9132,7.784,0.118,0.065
11.7,13.55,23.522,2.9203,7.765,0.115,0.063
11.8,13.155,23.609,2.9273,7.745,0.112,0.061
11.9,12.758,23.694,2.9343,7.726,0.109,0.06
12.0,12.361,23.776,2.9412,7.705,0.106,0.058
12.1,11.962,23.856,2.9482,7.685,0.103,0.057
12.2,11.561,23.933,2.9551,7.664,0.1,0.055
12.3,11.16,24.007,2.962,7.643,0.096,0.053
12.4,10.757,24.079,2.9688,7.622,0.093,0.051
12.5,10.353,24.148,2.9757,7.6,0.09,0.049
12.6,9.948,24.215,2.9825,7.578,0.087,0.048
12.7,9.541,24.278,2.9893,7.556,0.083,0.046
12.8,9.134,24.339,2.996,7.534,0.08,0.044
12.9,8.726,24.398,3.0028,7.511,0.077,0.042
13.0,8.316,24.454,3.0095,7.488,0.073,0.04
13.1,7.906,24.507,3.0162,7.465,0.07,0.038
13.2,7.495,24.557,3.0229,7.442,0.066,0.036
13.3,7.083,24.605,3.0296,7.418,0.063,0.035
13.4,6.671,24.65,3.0363,7.395,0.059,0.033
13.5,6.257,24.692,3.0429,7.371,0.056,0.031
13.6,5.843,24.732,3.0496,7.347,0.052,0.029
13.7,5.429,24.769,3.0562,7.323,0.048,0.027
13.8,5.013,24.803,3.0628,7.298,0.045,0.025
13.9,4.597,24.834,3.0694,7.274,0.041,0.023
14.0,4.181,24.863,3.076,7.249,0.037,0.021
14.1,3.764,24.889,3.0826,7.225,0.034,0.019
14.2,3.347,24.912,3.0892,7.2,0.03,0.017
14.3,2.93,24.933,3.0957,7.175,0.026,0.014
14.4,2.512,24.951,3.1023,7.15,0.023,0.012
14.5,2.093,24.966,3.1088,7.125,0.019,0.01
14.6,1.675,24.978,3.1154,7.1,0.015,0.008
14.7,1.256,24.988,3.122,7.075,0.011,0.006
14.8,0.838,24.995,3.1285,7.05,0.008,0.004
14.9,0.419,24.999,3.135,7.025,0.004,0.002
15.0,0.0,25.0,3.1416,7.0,0.0,0.0
15.1,-0.419,24.999,-3.135,6.975,-0.004,-0.002
15.2,-0.838,24.995,-3.1285,6.95,-0.008,-0.004
15.3,-1.256,24.988,-3.122,6.925,-0.011,-0.006
15.4,-1.675,24.978,-3.1154,6.9,-0.015,-0.008
15.5,-2.093,24.966,-3.1088,6.875,-0.019,-0.01
15.6,-2.512,24.951,-3.1023,6.85,-0.023,-0.012
15.7,-2.93,24.933,-3.0957,6.825,-0.026,-0.014
15.8,-3.347,24.912,-3.0892,6.8,-0.03,-0.017
15.9,-3.764,24.889,-3.0826,6.775,-0.034,-0.019
16.0,-4.181,24.863,-3.076,6.751,-0.037,-0.021
16.1,-4.597,24.834,-3.0694,6.726,-0.041,-0.023
16.2,-5.013,24.803,-3.0628,6.702,-0.045,-0.025
16.3,-5.429,24.769,-3.0562,6.677,-0.048,-0.027
16.4,-5.843,24.732,-3.0496,6.653,-0.052,-0.029
16.5,-6.257,24.692,-3.0429,6.629,-0.056,-0.031
16.6,-6.671,24.65,-3.0363,6.605,-0.059,-0.033
16.7,-7.083,24.605,-3.0296,6.582,-0.063,-0.035
16.8,-7.495,24.557,-3.0229,6.558,-0.066,-0.036
16.9,-7.906,24.507,-3.0162,6.535,-0.07,-0.038
17.0,-8.316,24.454,-3.0095,6.512,-0.073,-0.04
17.1,-8.726,24.398,-3.0028,6.489,-0.077,-0.042
17.2,-9.134,24.339,-2.996,6.466,-0.08,-0.044
17.3,-9.541,24.278,-2.9893,6.444,-0.083,-0.046
17.4,-9.948,24.215,-2.9825,6.422,-0.087,-0.048
17.5,-10.353,24.148,-2.9757,6.4,-0.09,-0.05
17.6,-10.757,24.079,-2.9688,6.378,-0.093,-0.051
17.7,-11.16,24.007,-2.962,6.357,-0.096,-0.053
17.8,-11.561,23.933,-2.9551,6.336,-0.1,-0.055
17.9,-11.962,23.856,-2.9482,6.315,-0.103,-0.057
18.0,-12.361,23.776,-2.9412,6.295,-0.106,-0.058
18.1,-12.758,23.694,-2.9343,6.274,-0.109,-0.06
18.2,-13.155,23.609,-2.9273,6.255,-0.112,-0.061
18.3,-13.55,23.522,-2.9203,6.235,-0.115,-0.063
18.4,-13.943,23.432,-2.9132,6.216,-0.118,-0.065
18.5,-14.335,23.34,-2.9061,6.197,-0.12,-0.066
18.6,-14.725,23.244,-2.899,6.179,-0.123,-0.068
18.7,-15.114,23.147,-2.8919,6.16,-0.126,-0.069
18.8,-15.501,23.047,-2.8847,6.143,-0.129,-0.071
18.9,-15.886,22.944,-2.8775,6.125,-0.131,-0.072
19.0,-16.269,22.839,-2.8702,6.108,-0.134,-0.074
19.1,-16.651,22.731,-2.8629,6.092,-0.136,-0.075
19.2,-17.031,22.621,-2.8556,6.075,-0.139,-0.076
19.3,-17.409,22.508,-2.8482,6.06,-0.141,-0.078
19.4,-17.785,22.393,-2.8408,6.044,-0.143,-0.079
19.5,-18.16,22.275,-2.8333,6.029,-0.146,-0.08
19.6,-18.532,22.155,-2.8258,6.015,-0.148,-0.081
19.7,-18.902,22.033,-2.8182,6.0,-0.15,-0.082
19.8,-19.27,21.908,-2.8106,5.987,-0.152,-0.084
19.9,-19.636,21.78,-2.803,5.974,-0.154,-0.085
20.0,-20.0,21.651,-2.7953,5.961,-0.156,-0.086
20.1,-20.362,21.519,-2.7875,5.948,-0.158,-0.087
20.2,-20.721,21.384,-2.7797,5.937,-0.16,-0.088
20.3,-21.078,21.247,-2.7719,5.925,-0.161,-0.089
20.4,-21.433,21.108,-2.764,5.914,-0.163,-0.09
20.5,-21.786,20.967,-2.756,5.904,-0.164,-0.09
20.6,-22.136,20.823,-2.748,5.894,-0.166,-0.091
20.7,-22.483,20.677,-2.7399,5.884,-0.167,-0.092
20.8,-22.829,20.529,-2.7318,5.875,-0.169,-0.093
20.9,-23.171,20.378,-2.7236,5.867,-0.17,-0.093
21.0,-23.511,20.225,-2.7153,5.859,-0.171,-0.094
21.1,-23.849,20.07,-2.707,5.851,-0.172,-0.095
21.2,-24.184,19.913,-2.6986,5.844,-0.173,-0.095
21.3,-24.516,19.754,-2.6902,5.838,-0.174,-0.096
21.4,-24.846,19.592,-2.6817,5.832,-0.175,-0.096
21.5,-25.173,19.429,-2.6731,5.826,-0.176,-0.097
21.6,-25.497,19.263,-2.6644,5.821,-0.177,-0.097
21.7,-25.818,19.095,-2.6557,5.817,-0.177,-0.098
21.8,-26.137,18.925,-2.6469,5.813,-0.178,-0.098
21.9,-26.452,18.753,-2.638,5.809,-0.179,-0.098
22.0,-26.765,18.579,-2.629,5.807,-0.179,-0.098
22.1,-27.075,18.402,-2.62,5.804,-0.179,-0.099
22.2,-27.382,18.224,-2.6109,5.802,-0.18,-0.099
22.3,-27.686,18.044,-2.6016,5.801,-0.18,-0.099
22.4,-27.987,17.862,-2.5924,5.8,-0.18,-0.099
22.5,-28.284,17.678,-2.583,5.8,-0.18,-0.099
22.6,-28.579,17.492,-2.5735,5.8,-0.18,-0.099
22.7,-28.87,17.304,-2.564,5.801,-0.18,-0.099
22.8,-29.159,17.114,-2.5544,5.802,-0.18,-0.099
22.9,-29.444,16.922,-2.5446,5.804,-0.179,-0.099
23.0,-29.726,16.728,-2.5348,5.807,-0.179,-0.098
23.1,-30.004,16.533,-2.5249,5.809,-0.179,-0.098
23.2,-30.28,16.336,-2.5149,5.813,-0.178,-0.098
23.3,-30.552,16.136,-2.5048,5.817,-0.177,-0.098
23.4,-30.821,15.936,-2.4946,5.821,-0.177,-0.097
23.5,-31.086,15.733,-2.4843,5.826,-0.176,-0.097
23.6,-31.348,15.529,-2.4739,5.832,-0.175,-0.096
23.7,-31.606,15.323,-2.4634,5.838,-0.174,-0.096
23.8,-31.861,15.115,-2.4527,5.844,-0.173,-0.095
23.9,-32.113,14.906,-2.442,5.851,-0.172,-0.095
24.0,-32.361,14.695,-2.4312,5.859,-0.171,-0.094
24.1,-32.605,14.482,-2.4202,5.867,-0.17,-0.093
24.2,-32.846,14.268,-2.4092,5.875,-0.169,-0.093
24.3,-33.083,14.052,-2.398,5.884,-0.167,-0.092
24.4,-33.317,13.835,-2.3867,5.894,-0.166,-0.091
24.5,-33.547,13.616,-2.3753,5.904,-0.164,-0.09
24.6,-33.773,13.396,-2.3638,5.914,-0.163,-0.09
24.7,-33.996,13.174,-2.3522,5.925,-0.161,-0.089
24.8,-34.215,12.951,-2.3404,5.937,-0.16,-0.088
24.9,-34.43,12.726,-2.3286,5.948,-0.158,-0.087
25.0,-34.641,12.5,-2.3166,5.961,-0.156,-0.086
25.1,-34.849,12.273,-2.3045,5.974,-0.154,-0.085
25.2,-35.052,12.044,-2.2922,5.987,-0.152,-0.084
25.3,-35.252,11.814,-2.2799,6.0,-0.15,-0.082
25.4,-35.448,11.582,-2.2674,6.015,-0.148,-0.081
25.5,-35.64,11.35,-2.2548,6.029,-0.146,-0.08
25.6,-35.828,11.116,-2.242,6.044,-0.143,-0.079
25.7,-36.013,10.881,-2.2291,6.06,-0.141,-0.078
25.8,-36.193,10.644,-2.2162,6.075,-0.139,-0.076
25.9,-36.369,10.407,-2.203,6.092,-0.136,-0.075
26.0,-36.542,10.168,-2.1898,6.108,-0.134,-0.074
26.1,-36.71,9.929,-2.1764,6.125,-0.131,-0.072
26.2,-36.875,9.688,-2.1629,6.143,-0.129,-0.071
26.3,-37.035,9.446,-2.1492,6.16,-0.126,-0.069
26.4,-37.191,9.203,-2.1355,6.179,-0.123,-0.068
26.5,-37.343,8.959,-2.1216,6.197,-0.12,-0.066
26.6,-37.491,8.714,-2.1076,6.216,-0.118,-0.065
26.7,-37.635,8.468,-2.0934,6.235,-0.115,-0.063
26.8,-37.775,8.222,-2.0791,6.255,-0.112,-0.061
26.9,-37.911,7.974,-2.0647,6.274,-0.109,-0.06
27.0,-38.042,7.725,-2.0502,6.295,-0.106,-0.058
27.1,-38.17,7.476,-2.0356,6.315,-0.103,-0.057
27.2,-38.293,7.226,-2.0208,6.336,-0.1,-0.055
27.3,-38.412,6.975,-2.0059,6.357,-0.096,-0.053
27.4,-38.527,6.723,-1.9909,6.378,-0.093,-0.051
27.5,-38.637,6.47,-1.9758,6.4,-0.09,-0.05
27.6,-38.743,6.217,-1.9606,6.422,-0.087,-0.048
27.7,-38.845,5.963,-1.9453,6.444,-0.083,-0.046
27.8,-38.943,5.709,-1.9298,6.466,-0.08,-0.044
27.9,-39.037,5.454,-1.9143,6.489,-0.077,-0.042
28.0,-39.126,5.198,-1.8986,6.512,-0.073,-0.04
28.1,-39.211,4.941,-1.8829,6.535,-0.07,-0.038
28.2,-39.291,4.685,-1.867,6.558,-0.066,-0.036
28.3,-39.368,4.427,-1.8511,6.582,-0.063,-0.035
28.4,-39.44,4.169,-1.8351,6.605,-0.059,-0.033
28.5,-39.508,3.911,-1.819,6.629,-0.056,-0.031
28.6,-39.571,3.652,-1.8028,6.653,-0.052,-0.029
28.7,-39.63,3.393,-1.7866,6.677,-0.048,-0.027
28.8,-39.685,3.133,-1.7702,6.702,-0.045,-0.025
28.9,-39.735,2.873,-1.7539,6.726,-0.041,-0.023
29.0,-39.781,2.613,-1.7374,6.751,-0.037,-0.021
29.1,-39.822,2.353,-1.7209,6.775,-0.034,-0.019
29.2,-39.86,2.092,-1.7044,6.8,-0.03,-0.017
29.3,-39.893,1.831,-1.6878,6.825,-0.026,-0.014
29.4,-39.921,1.57,-1.6711,6.85,-0.023,-0.012
29.5,-39.945,1.308,-1.6545,6.875,-0.019,-0.01
29.6,-39.965,1.047,-1.6378,6.9,-0.015,-0.008
29.7,-39.98,0.785,-1.621,6.925,-0.011,-0.006
29.8,-39.991,0.524,-1.6043,6.95,-0.008,-0.004
29.9,-39.998,0.262,-1.5876,6.975,-0.004,-0.002
30.0,-40.0,0.0,-1.5708,7.0,-0.0,-0.0
30.1,-39.998,-0.262,-1.554,7.025,0.004,0.002
30.2,-39.991,-0.524,-1.5373,7.05,0.008,0.004
30.3,-39.98,-0.785,-1.5206,7.075,0.011,0.006
30.4,-39.965,-1.047,-1.5038,7.1,0.015,0.008
30.5,-39.945,-1.308,-1.4871,7.125,0.019,0.01
30.6,-39.921,-1.57,-1.4705,7.15,0.023,0.012
30.7,-39.893,-1.831,-1.4538,7.175,0.026,0.014
30.8,-39.86,-2.092,-1.4372,7.2,0.03,0.017
30.9,-39.822,-2.353,-1.4207,7.225,0.034,0.019
31.0,-39.781,-2.613,-1.4042,7.249,0.037,0.021
31.1,-39.735,-2.873,-1.3877,7.274,0.041,0.023
31.2,-39.685,-3.133,-1.3714,7.298,0.045,0.025
31.3,-39.63,-3.393,-1.355,7.323,0.048,0.027
31.4,-39.571,-3.652,-1.3388,7.347,0.052,0.029
31.5,-39.508,-3.911,-1.3226,7.371,0.056,0.031
31.6,-39.44,-4.169,-1.3065,7.395,0.059,0.033
31.7,-39.368,-4.427,-1.2905,7.418,0.063,0.035
31.8,-39.291,-4.685,-1.2746,7.442,0.066,0.036
31.9,-39.211,-4.941,-1.2587,7.465,0.07,0.038
32.0,-39.126,-5.198,-1.243,7.488,0.073,0.04
32.1,-39.037,-5.454,-1.2273,7.511,0.077,0.042
32.2,-38.943,-5.709,-1.2118,7.534,0.08,0.044
32.3,-38.845,-5.963,-1.1963,7.556,0.083,0.046
32.4,-38.743,-6.217,-1.181,7.578,0.087,0.048
32.5,-38.637,-6.47,-1.1658,7.6,0.09,0.049
32.6,-38.527,-6.723,-1.1507,7.622,0.093,0.051
32.7,-38.412,-6.975,-1.1357,7.643,0.096,0.053
32.8,-38.293,-7.226,-1.1208,7.664,0.1,0.055
32.9,-38.17,-7.476,-1.106,7.685,0.103,0.057
33.0,-38.042,-7.725,-1.0914,7.705,0.106,0.058
33.1,-37.911,-7.974,-1.0769,7.726,0.109,0.06
33.2,-37.775,-8.222,-1.0625,7.745,0.112,0.061
33.3,-37.635,-8.468,-1.0482,7.765,0.115,0.063
33.4,-37.491,-8.714,-1.034,7.784,0.118,0.065
33.5,-37.343,-8.959,-1.02,7.803,0.12,0.066
33.6,-37.191,-9.203,-1.0061,7.821,0.123,0.068
33.7,-37.035,-9.446,-0.9924,7.84,0.126,0.069
33.8,-36.875,-9.688,-0.9787,7.857,0.129,0.071
33.9,-36.71,-9.929,-0.9652,7.875,0.131,0.072
34.0,-36.542,-10.168,-0.9518,7.892,0.134,0.074
34.1,-36.369,-10.407,-0.9386,7.908,0.136,0.075
34.2,-36.193,-10.644,-0.9254,7.925,0.139,0.076
34.3,-36.013,-10.881,-0.9124,7.94,0.141,0.078
34.4,-35.828,-11.116,-0.8996,7.956,0.143,0.079
34.5,-35.64,-11.35,-0.8868,7.971,0.146,0.08
34.6,-35.448,-11.582,-0.8742,7.985,0.148,0.081
34.7,-35.252,-11.814,-0.8617,8.0,0.15,0.082
34.8,-35.052,-12.044,-0.8494,8.013,0.152,0.084
34.9,-34.849,-12.273,-0.8371,8.026,0.154,0.085
35.0,-34.641,-12.5,-0.825,8.039,0.156,0.086
35.1,-34.43,-12.726,-0.813,8.052,0.158,0.087
35.2,-34.215,-12.951,-0.8011,8.063,0.16,0.088
35.3,-33.996,-13.174,-0.7894,8.075,0.161,0.089
35.4,-33.773,-13.396,-0.7778,8.086,0.163,0.09
35.5,-33.547,-13.616,-0.7662,8.096,0.164,0.09
35.6,-33.317,-13.835,-0.7549,8.106,0.166,0.091
35.7,-33.083,-14.052,-0.7436,8.116,0.167,0.092
35.8,-32.846,-14.268,-0.7324,8.125,0.169,0.093
35.9,-32.605,-14.482,-0.7214,8.133,0.17,0.093
36.0,-32.361,-14.695,-0.7104,8.141,0.171,0.094
36.1,-32.113,-14.906,-0.6996,8.149,0.172,0.095
36.2,-31.861,-15.115,-0.6889,8.156,0.173,0.095
36.3,-31.606,-15.323,-0.6782,8.162,0.174,0.096
36.4,-31.348,-15.529,-0.6677,8.168,0.175,0.096
36.5,-31.086,-15.733,-0.6573,8.174,0.176,0.097
36.6,-30.821,-15.936,-0.647,8.179,0.177,0.097
36.7,-30.552,-16.136,-0.6368,8.183,0.177,0.098
36.8,-30.28,-16.336,-0.6267,8.187,0.178,0.098
36.9,-30.004,-16.533,-0.6167,8.191,0.179,0.098
37.0,-29.726,-16.728,-0.6068,8.193,0.179,0.098
37.1,-29.444,-16.922,-0.597,8.196,0.179,0.099
37.2,-29.159,-17.114,-0.5872,8.198,0.18,0.099
37.3,-28.87,-17.304,-0.5776,8.199,0.18,0.099
37.4,-28.579,-17.492,-0.5681,8.2,0.18,0.099
37.5,-28.284,-17.678,-0.5586,8.2,0.18,0.099
37.6,-27.987,-17.862,-0.5492,8.2,0.18,0.099
37.7,-27.686,-18.044,-0.5399,8.199,0.18,0.099
37.8,-27.382,-18.224,-0.5307,8.198,0.18,0.099
37.9,-27.075,-18.402,-0.5216,8.196,0.179,0.099
38.0,-26.765,-18.579,-0.5126,8.193,0.179,0.098
38.1,-26.452,-18.753,-0.5036,8.191,0.179,0.098
38.2,-26.137,-18.925,-0.4947,8.187,0.178,0.098
38.3,-25.818,-19.095,-0.4859,8.183,0.177,0.098
38.4,-25.497,-19.263,-0.4772,8.179,0.177,0.097
38.5,-25.173,-19.429,-0.4685,8.174,0.176,0.097
38.6,-24.846,-19.592,-0.4599,8.168,0.175,0.096
38.7,-24.516,-19.754,-0.4514,8.162,0.174,0.096
38.8,-24.184,-19.913,-0.443,8.156,0.173,0.095
38.9,-23.849,-20.07,-0.4346,8.149,0.172,0.095
39.0,-23.511,-20.225,-0.4262,8.141,0.171,0.094
39.1,-23.171,-20.378,-0.418,8.133,0.17,0.093
39.2,-22.829,-20.529,-0.4098,8.125,0.169,0.093
39.3,-22.483,-20.677,-0.4017,8.116,0.167,0.092
39.4,-22.136,-20.823,-0.3936,8.106,0.166,0.091
39.5,-21.786,-20.967,-0.3856,8.096,0.164,0.09
39.6,-21.433,-21.108,-0.3776,8.086,0.163,0.09
39.7,-21.078,-21.247,-0.3697,8.075,0.161,0.089
39.8,-20.721,-21.384,-0.3618,8.063,0.16,0.088
39.9,-20.362,-21.519,-0.354,8.052,0.158,0.087
40.0,-20.0,-21.651,-0.3463,8.039,0.156,0.086
40.1,-19.636,-21.78,-0.3386,8.026,0.154,0.085
40.2,-19.27,-21.908,-0.331,8.013,0.152,0.084
40.3,-18.902,-22.033,-0.3234,8.0,0.15,0.082
40.4,-18.532,-22.155,-0.3158,7.985,0.148,0.081
40.5,-18.16,-22.275,-0.3083,7.971,0.146,0.08
40.6,-17.785,-22.393,-0.3008,7.956,0.143,0.079
40.7,-17.409,-22.508,-0.2934,7.94,0.141,0.078
40.8,-17.031,-22.621,-0.286,7.925,0.139,0.076
40.9,-16.651,-22.731,-0.2787,7.908,0.136,0.075
41.0,-16.269,-22.839,-0.2714,7.892,0.134,0.074
41.1,-15.886,-22.944,-0.2641,7.875,0.131,0.072
41.2,-15.501,-23.047,-0.2569,7.857,0.129,0.071
41.3,-15.114,-23.147,-0.2497,7.84,0.126,0.069
41.4,-14.725,-23.244,-0.2426,7.821,0.123,0.068
41.5,-14.335,-23.34,-0.2355,7.803,0.12,0.066
41.6,-13.943,-23.432,-0.2284,7.784,0.118,0.065
41.7,-13.55,-23.522,-0.2213,7.765,0.115,0.063
41.8,-13.155,-23.609,-0.2143,7.745,0.112,0.061
41.9,-12.758,-23.694,-0.2073,7.726,0.109,0.06
42.0,-12.361,-23.776,-0.2004,7.705,0.106,0.058
42.1,-11.962,-23.856,-0.1934,7.685,0.103,0.057
42.2,-11.561,-23.933,-0.1865,7.664,0.1,0.055
42.3,-11.16,-24.007,-0.1796,7.643,0.096,0.053
42.4,-10.757,-24.079,-0.1728,7.622,0.093,0.051
42.5,-10.353,-24.148,-0.1659,7.6,0.09,0.049
42.6,-9.948,-24.215,-0.1591,7.578,0.087,0.048
42.7,-9.541,-24.278,-0.1523,7.556,0.083,0.046
42.8,-9.134,-24.339,-0.1456,7.534,0.08,0.044
42.9,-8.726,-24.398,-0.1388,7.511,0.077,0.042
43.0,-8.316,-24.454,-0.1321,7.488,0.073,0.04
43.1,-7.906,-24.507,-0.1254,7.465,0.07,0.038
43.2,-7.495,-24.557,-0.1187,7.442,0.066,0.036
43.3,-7.083,-24.605,-0.112,7.418,0.063,0.035
43.4,-6.671,-24.65,-0.1053,7.395,0.059,0.033
43.5,-6.257,-24.692,-0.0987,7.371,0.056,0.031
43.6,-5.843,-24.732,-0.092,7.347,0.052,0.029
43.7,-5.429,-24.769,-0.0854,7.323,0.048,0.027
43.8,-5.013,-24.803,-0.0788,7.298,0.045,0.025
43.9,-4.597,-24.834,-0.0722,7.274,0.041,0.023
44.0,-4.181,-24.863,-0.0656,7.249,0.037,0.021
44.1,-3.764,-24.889,-0.059,7.225,0.034,0.019
44.2,-3.347,-24.912,-0.0524,7.2,0.03,0.017
44.3,-2.93,-24.933,-0.0459,7.175,0.026,0.014
44.4,-2.512,-24.951,-0.0393,7.15,0.023,0.012
44.5,-2.093,-24.966,-0.0327,7.125,0.019,0.01
